FAM108A2 ENSG00000198658
ODZ2 ENSG00000145934
MOBKL1A ENSG00000173542
H3F3A ENSG00000163041
GALNTL1 ENSG00000100626
KIAA0368 ENSG00000136813
KIAA0284 ENSG00000258593
SEPW1 ENSG00000178980
KIAA1598 ENSG00000187164
C14orf4 ENSG00000119669
RNASEN ENSG00000113360
C12orf23 ENSG00000151135
CXCR7 ENSG00000144476
PTPLAD1 ENSG00000074696
C3orf63 ENSG00000163946
KIAA1797 ENSG00000188352
MARS ENSG00000166986
ADPRHL2 ENSG00000116863
C6orf192 ENSG00000146409
C20orf194 ENSG00000088854
RAGE ENSG00000204305
C10orf57 ENSG00000230643
NBPF16 ENSG00000266338
METT10D ENSG00000127804
FAM48A ENSG00000102710
PTPLB ENSG00000206527
C16orf5 ENSG00000089486
WDR45L ENSG00000141580
C5orf51 ENSG00000205765
PAK7 ENSG00000101349
CNIH ENSG00000100528
C9orf5 ENSG00000106771
RBM16 ENSG00000213079
FRG1B ENSG00000149531
MUT ENSG00000146085
SPHAR ENSG00000253707
SFRS18 ENSG00000132424
C12orf51 ENSG00000173064
C11orf2 ENSG00000118096
FAM96B ENSG00000166595
C5orf30 ENSG00000181751
ANKRD43 ENSG00000198944
C20orf3 ENSG00000101474
LOC440248 ENSG00000290487
CCDC45 ENSG00000258890
C14orf153 ENSG00000256053
KIAA1737 ENSG00000198894
FAM179B ENSG00000198718
C7orf58 ENSG00000253630
LYRM5 ENSG00000205707
PPAP2A ENSG00000067113
AHSA2 ENSG00000173209
TMEM178 ENSG00000152154
KLRAQ1 ENSG00000162869
KIAA0240 ENSG00000112624
METT11D1 ENSG00000165792
H1F0 ENSG00000189060
FAM134C ENSG00000141699
BAT2L2 ENSG00000117523
SEPT11 ENSG00000138758
C1orf151 ENSG00000173436
HIST1H4C ENSG00000197061
TROVE2 ENSG00000116747
SC4MOL ENSG00000052802
KIAA0174 ENSG00000182149
TMEM56 ENSG00000237249
GARS ENSG00000106105
FAM123A ENSG00000165566
KIAA0907 ENSG00000132680
KIAA0195 ENSG00000177728
ATP5L ENSG00000167283
ERBB2IP ENSG00000112851
ZNF833 ENSG00000267343
KIAA1267 ENSG00000120071
KLHDC5 ENSG00000087448
EFHA1 ENSG00000165487
ZNF542 ENSG00000240225
ACPL2 ENSG00000155893
FAM36A ENSG00000203667
C8orf77 ENSG00000255559
GRAMD3 ENSG00000155324
FAM134A ENSG00000144567
LOC728537 #########
MYST3 ENSG00000083168
FIGF ENSG00000165197
CARKD ENSG00000213995
PRKRIR ENSG00000259433
NOP5 ENSG00000055044
NOP58 ENSG00000055044
C1orf9 ENSG00000094975
LOC144571 ##########
FAM115A ENSG00000198420
WASH1 ENSG00000278635
CASC4 ENSG00000166734
LOC158381 ENSG00000241545
LOC134466 ######
HIST1H4F ENSG00000274618
EFHA2 ENSG00000155970
HIAT1 ENSG00000254590
FAM116A ENSG00000174839
